33,python,Maker毕,【代码吃鸡比赛】首届代码吃鸡大赛视频！五五开或成最大赢家,192000.0,191.0,2019/4/27,21:55:00,https://www.bilibili.com/video/av50574034?from=search
34,python,帅帅家的人工智障,【 机器人：最新波士顿动力机器人 】最新波士顿动力机器人 奔跑、室内巡航、爬楼梯、搬运,184000.0,654.0,2018/5/11,06:35:00,https://www.bilibili.com/video/av23275098?from=search
35,python,小墨boy,震惊！14岁少年用python编出直播弹幕玩MC Minecraft,183000.0,1652.0,2018/8/19,06:14:00,https://www.bilibili.com/video/av29731809?from=search
36,python,千锋教育,千锋python教程：Django基础到实战讲解（精华版）,172000.0,4048.0,2018/1/2,34:22:31,https://www.bilibili.com/video/av17879644?from=search
37,python,Python最好了,【阴阳师】震惊！你绝对没见过的！妖狐居然也能...！,170000.0,5282.0,2017/3/3,08:21:00,https://www.bilibili.com/video/av8935566?from=search
38,python,咩2016,【卡成PPT？】是时候见证一下PPT的真正实力了！（Bad Apple）,167000.0,471.0,2019/5/18,04:31:00,https://www.bilibili.com/video/av52746762?from=search
39,python,Jai_wei,python+opencv3.3视频教学 基础入门,167000.0,4668.0,2018/6/16,11:08:31,https://www.bilibili.com/video/av24998616?from=search
40,python,Jannchie见齐,【B站数据可视化】谁是最强鬼畜明星？,166000.0,2452.0,2018/5/15,03:54:00,https://www.bilibili.com/video/av23447798?from=search
41,python,偶尔有点小迷糊,我适合学哪种语言？编程语言大PK,162000.0,1762.0,2019/4/4,05:57:00,https://www.bilibili.com/video/av48278351?from=search
42,python,轻松学Python,表弟使用Python的两种方法来爬取《我不是药神》高清电影和影评，VIP都不需要了！,161000.0,21.0,2018/7/26,01:42:49,https://www.bilibili.com/video/av27782740?from=search
43,python,ibecameweird,大蟒蛇---洗个澡过年了 (⊙﹏⊙),157000.0,184.0,2017/1/27,01:00:00,https://www.bilibili.com/video/av8242627?from=search
44,python,python学习者,python新手强烈推荐教程：爬虫入门,147000.0,2412.0,2018/2/23,01:23:57,https://www.bilibili.com/video/av19954075?from=search
45,python,薛定谔の彩虹猫,[微信跳一跳]你见过跳一跳5000分以后的世界吗,143000.0,349.0,2018/1/15,03:35:00,https://www.bilibili.com/video/av18349997?from=search
46,python,小美手,【Python最强教学】Python for Everybody 中英双字幕,140000.0,271.0,2019/6/22,14:46:40,https://www.bilibili.com/video/av56441061?from=search
